████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
⒐香港电影_4520,#genre#20250727                                    【只需要同步更新就好】               
不文小丈夫之银座嬉春1991(DVD粤语),https://yzzy.play-cdn8.com/20220911/19265_b23311c4/index.m3u8
採花和尚1994(HD粤语),https://yzzy.play-cdn14.com/20230719/29964_635bce9b/index.m3u8
超级床上人之喜怒哀乐1999(HD粤语),https://vip15.play-cdn15.com/20240128/26933_6019b86f/index.m3u8
超淫特工队(HD国语),https://vip15.play-cdn15.com/20231202/26065_c7ab55ab/index.m3u8
赤裸羔羊(HD粤语版),https://yzzy.play-cdn7.com/20220629/1253_026b03e8/index.m3u8
赤裸红唇(HD国语),https://yzzy.play-cdn6.com/20220805/8735_62d5812d/index.m3u8
赤裸迷情(HD粤语),https://vip15.play-cdn15.com/20230821/24155_45d72809/index.m3u8
赤裸人性(HD粤语),https://vip15.play-cdn15.com/20240113/26858_1b97f0dd/index.m3u8
赤裸天使(HD国语版),https://yzzy.play-cdn7.com/20220701/2067_0f25929d/index.m3u8
赤足惊魂(DVD国语),https://yzzy.play-cdn8.com/20220805/12442_ec231fcf/index.m3u8
初夜洞房档案(HD国语),https://yzzy.play-cdn14.com/20230813/31378_d7c9297b/index.m3u8
处女降(HD粤语),https://yzzy.play-cdn14.com/20230807/31091_fea2e456/index.m3u8
处女夜记(HD粤语),https://vip15.play-cdn15.com/20240113/26859_4db3be8b/index.m3u8
春女怪谈(HD粤语),https://yzzy.play-cdn14.com/20230714/29472_eb706c4f/index.m3u8
慈禧的秘密生活(HD粤语版),https://yzzy.play-cdn7.com/20220629/1257_14cb3ef5/index.m3u8
慈禧秘密生活(HD粤语版),https://yzzy.play-cdn7.com/20220629/1257_14cb3ef5/index.m3u8
刺青女杀手(HD国语),https://svip.yyzy-play.vip/20240324/233_ae8ada73/index.m3u8
摧花神龙教(HD国语),https://yzzy.play-cdn14.com/20230701/27935_2debf49c/index.m3u8
打蛇(HD粤语),https://vip15.play-cdn15.com/20231214/26182_067f0f3b/index.m3u8
大波诱惑(HD粤语),https://vip15.play-cdn15.com/20240127/26907_c850d865/index.m3u8
大茶壶的情人(HD国语),https://yzzy.play-cdn14.com/20230709/28848_f6acefce/index.m3u8
大昅嘢(HD粤语),https://yzzy.play-cdn14.com/20230726/30564_aacb07c2/index.m3u8
大内密探之零零性性(HD粤语版),https://yzzy.play-cdn7.com/20220625/524_4cdf4ae0/index.m3u8
大咸湿(DVD粤语),https://yzzy.play-cdn8.com/20220911/19269_b6f69419/index.m3u8
丹麦娇娃(DVD国语),https://yzzy.play-cdn8.com/20220725/10440_b3055b4b/index.m3u8
挡不住的风情(HD国语版),https://yzzy.play-cdn7.com/20220629/1259_f08bbff3/index.m3u8
荡女痴男(HD国语),https://vip15.play-cdn15.com/20240113/26862_a5737424/index.m3u8
灯草和尚之素女经(DVD国语),https://yzzy.play-cdn8.com/20220725/10441_09d2bd57/index.m3u8
第一夜(HD国语),https://yzzy.play-cdn14.com/20230709/28849_1f09ad4c/index.m3u8
癫马女郎之一夜情(HD国语),https://yzzy.play-cdn14.com/20230717/29814_6359b130/index.m3u8
东方之珠的风流家族(HD粤语),https://yzzy.play-cdn14.com/20230809/31197_8c6fdd83/index.m3u8
都巿情缘之艳舞女郎(HD粤语),https://vip15.play-cdn15.com/20240108/26761_519a69f5/index.m3u8
毒女(HD国语版),https://yzzy.play-cdn7.com/20220701/2068_602466a9/index.m3u8
赌城快活女(HD国语版),https://yzzy.play-cdn7.com/20220701/2068_602466a9/index.m3u8
敦煌夜话(HD国语),https://vip15.play-cdn15.com/20231015/25080_291d2373/index.m3u8
夺命哥罗芳(HD国语),https://svip.high23-playback.com/20240730/25023_8957b9c7/index.m3u8
二奶村之杀夫(DVD粤语),https://yzzy.play-cdn8.com/20220911/19270_1d5778e4/index.m3u8
发电俏娇娃(HD国语),https://vip15.play-cdn15.com/20230909/24557_7cb3f451/index.m3u8
飞凤春宵(HD国语),https://yzzy.play-cdn14.com/20230722/30209_25187dcb/index.m3u8
风尘三女侠(HD粤语),https://vip15.play-cdn15.com/20231229/26555_864ce72f/index.m3u8
风花雪月(HD国语版),https://yzzy.play-cdn7.com/20220629/1261_37c92055/index.m3u8
风流名妓苏小小(HD国语),https://yzzy.play-cdn14.com/20230710/28930_1deb738a/index.m3u8
风流冤鬼(HD粤语),https://yzzy21.playback-speed.com/20241207/40453_1549ff48/index.m3u8
风流冤鬼(HD国语),https://yzzy21.playback-speed.com/20241207/40452_3bbfc424/index.m3u8
风流韵事(HD国语版),https://yzzy.play-cdn7.com/20220701/2069_8c258ad0/index.m3u8
风起云涌之情迷香江(HD粤语),https://vip15.play-cdn15.com/20240113/26864_99526136/index.m3u8
风月奇谭(HD国语版),https://yzzy.play-cdn7.com/20220701/2028_cacafc1f/index.m3u8
疯狂电视频道(HD粤语),https://vip15.play-cdn15.com/20231229/26556_81acd5bc/index.m3u8
肝胆相照(DVD国语),https://yzzy.play-cdn8.com/20220911/19271_f4d48146/index.m3u8
羔羊医生(DVD国语),https://yzzy.play-cdn8.com/20220711/3729_adabfa24/index.m3u8
隔世鬼奸情(HD粤语),https://yzzy.play-cdn14.com/20230728/30782_f80e00d9/index.m3u8
公海强奸风暴(DVD粤语),https://yzzy.play-cdn8.com/20220911/19272_c05e3d60/index.m3u8
勾魂恶梦(HD国语),https://yzzy.play-cdn8.com/20220706/1706_446f5eb1/index.m3u8
古之色狼(HD国语),https://svip.yyzy-play.vip/20240324/215_1a1eab81/index.m3u8
广州杀人王之人皮日记(DVD粤语),https://yzzy.play-cdn6.com/20220805/8736_2fe7e10d/index.m3u8
鬼娘子(HD国语),https://yzzy.play-cdn14.com/20230708/28736_f44761a8/index.m3u8
还枝格格(DVD国语),https://yzzy.play-cdn8.com/20220711/3725_1f98c01a/index.m3u8
豪放花女情(HD国语),https://yzzy.play-cdn14.com/20230808/31140_bd9334fb/index.m3u8
豪情(DVD国语),https://yzzy.play-cdn8.com/20220711/3731_1d880414/index.m3u8
豪情夜生活(HD国语),https://yzzy.play-cdn14.com/20230707/28682_be2f5be9/index.m3u8
黑色午夜(HD国语),https://yzzy.play-cdn14.com/20230712/29234_4c31242d/index.m3u8
红灯区(HD国语版),https://yzzy.play-cdn7.com/20220629/1267_efce674e/index.m3u8
红楼春梦(DVD粤语),https://yzzy.play-cdn8.com/20220711/3866_00318e5c/index.m3u8
红楼春上春(HD粤语),https://vip15.play-cdn15.com/20240105/26700_5c0ed260/index.m3u8
蝴蝶(HD粤语),https://vip15.play-cdn15.com/20231121/25847_09d85168/index.m3u8
花街狂奔(HD国语),https://svip.high23-playback.com/20240730/25025_60d99e11/index.m3u8
花心野玫瑰(DVD粤语),https://yzzy.play-cdn8.com/20221014/23503_feaf9ed9/index.m3u8
换妻换上瘾(HD粤语),https://vip15.play-cdn15.com/20240104/26657_94ffd024/index.m3u8
机密重案之致命诱惑(HD粤语),https://yzzy.play-cdn14.com/20230622/26987_b9ee4c6c/index.m3u8
鸡年大奸情(HD国语),https://vip15.play-cdn15.com/20230917/24729_b5276eb2/index.m3u8
鸡年寻欢(HD国语),https://vip15.play-cdn15.com/20231229/26559_e8245f2c/index.m3u8
激情艳女(HD国语),https://vip15.play-cdn15.com/20231013/25040_9ca1575c/index.m3u8
极度强奸1998(HD中字),https://yzzy.play-cdn14.com/20230711/29152_bc1efe2c/index.m3u8
极度兽性1996(HD粤语),https://vip15.play-cdn15.com/20230823/24215_e7a77c1e/index.m3u8
极乐导淫犬1990(HD粤语),https://vip15.play-cdn15.com/20240127/26910_e9b42cc1/index.m3u8
极乐酷刑2000(HD粤语),https://vip15.play-cdn15.com/20231229/26560_b3dcc68f/index.m3u8
极欲燃烧2004(HD中字),https://svip.high23-playback.com/20240730/25026_39d68be2/index.m3u8
奸魔1992(HD国语),https://vip15.play-cdn15.com/20240203/27121_8dfc610a/index.m3u8
兼职女郎1994(HD粤语),https://yzzy.play-cdn14.com/20230809/31196_2d18f060/index.m3u8
剑奴1993(HD中字),https://yzzy.play-cdn14.com/20230708/28737_68a092bd/index.m3u8
娇妻四艳鬼1994(HD中字),https://yzzy.play-cdn14.com/20230711/29153_845f8249/index.m3u8
娇娃不设防三度偷情1993(HD国语),https://vip15.play-cdn15.com/20230821/24156_794487c8/index.m3u8
街坊差人1995(HD中字),https://yzzy.play-cdn14.com/20230703/28185_d72b5c3e/index.m3u8
劫杀爱美神1999(HD粤语),https://yzzy.play-cdn14.com/20230716/29724_ad60bd9a/index.m3u8
金瓶梅2008(HD粤语),https://yzzy.play-cdn7.com/20220624/366_95093570/index.m3u8
金瓶梅2之爱的奴隶2009(HD粤语),https://yzzy.play-cdn7.com/20220624/367_eb06e9c6/index.m3u8
金瓶梅之鸳鸯戏床2000(DVD国语),https://yzzy.play-cdn9.com/20220929/329_df616c6c/index.m3u8
金瓶双艳1973(HD国语版),https://yzzy.play-cdn7.com/20220626/825_a7393a1c/index.m3u8
金枝玉叶之睡在下流社会的日子1999(DVD国语),https://yzzy.play-cdn9.com/20220929/333_ffb5ef6f/index.m3u8
禁春1993(HD粤语),https://vip15.play-cdn15.com/20230823/24214_11c8a880/index.m3u8
禁房艳奇1992(HD粤语),https://yzzy.play-cdn14.com/20230716/29726_a8111345/index.m3u8
禁果情花1986(HD中字),https://svip.high23-playback.com/20240730/25027_86632a4f/index.m3u8
禁忌游戏1993(DVD国语),https://yzzy.play-cdn9.com/20220927/5_528c70b4/index.m3u8
禁色1992(DVD粤语),https://yzzy.play-cdn7.com/20220811/10885_34122819/index.m3u8
禁室培欲之爱的俘虏2006(HD粤语),https://yzzy.play-cdn9.com/20221014/6208_aa417a32/index.m3u8
惊变1996(HD中字版),https://yzzy.play-cdn7.com/20220701/2031_648adbc6/index.m3u8
惊天龙虎豹1991(HD中字版),https://yzzy.play-cdn7.com/20220701/2040_6fbdcee3/index.m3u8
惊天桃色劫1993(DVD国语),https://yzzy.play-cdn8.com/20221014/23506_ea6043ab/index.m3u8
警花肉搏强奸党1994(HD中字),https://yzzy.play-cdn14.com/20230702/28055_ee12cf7c/index.m3u8
酒帘1976(HD国语版),https://yzzy.play-cdn7.com/20220701/2072_520b9abd/index.m3u8
绝种贱男之爱在三级的日子2003(HD中字),https://svip.high23-playback.com/20240730/25028_5a46adb9/index.m3u8
绝种贱男之小男人小周记2003(HD中字),https://svip.high23-playback.com/20240730/25029_baaf2b33/index.m3u8
军阀趣史1979(HD国语版),https://yzzy.play-cdn7.com/20220629/1269_c937814b/index.m3u8
军妓慰安妇1992(DVD国语),https://yzzy.play-cdn7.com/20220811/10886_1af86830/index.m3u8
康熙艳谈1992(DVD国语),https://yzzy.play-cdn9.com/20220927/4_0aa9747b/index.m3u8
狂情1983(DVD粤语),https://yzzy.play-cdn7.com/20220811/10887_42f24552/index.m3u8
郎心如铁1993(HD粤语),https://vip15.play-cdn15.com/20240112/26840_da18411e/index.m3u8
浪蝶狂花1993(HD中字),https://yzzy.play-cdn14.com/20230629/27740_09dc4c6b/index.m3u8
李小龙与我1976(HD国语版),https://yzzy.play-cdn7.com/20220629/1284_7b8ca9df/index.m3u8
梁祝艳谭2000第1集(HD国语版),https://vip15.play-cdn15.com/20231013/25042_40f265aa/index.m3u8
梁祝艳谭2000第2集(HD国语版),https://vip15.play-cdn15.com/20231013/25044_d47251e7/index.m3u8
梁祝艳谭2000第3集(HD国语版),https://vip15.play-cdn15.com/20231013/25043_2ca78da5/index.m3u8
梁祝艳谭2000第4集(HD国语版),https://vip15.play-cdn15.com/20231013/25045_250ef2a2/index.m3u8
梁祝艳谭2000第5集(HD国语版),https://vip15.play-cdn15.com/20231013/25046_36e18321/index.m3u8
聊斋花弄月1991(HD中字),https://yzzy.play-cdn14.com/20230704/28363_6040d0c0/index.m3u8
聊斋惊艳1991(HD中字),https://yzzy.play-cdn14.com/20230708/28739_b7ec6062/index.m3u8
聊斋艳奇之月宫宝盒2003(HD粤语),https://vip15.play-cdn15.com/20240104/26680_3d34c0c2/index.m3u8
聊斋艳谭1990(HD国语版),https://yzzy.play-cdn10.com/20221019/1113_fca55a1a/index.m3u8
聊斋艳谭1990(HD粤语版),https://yzzy.play-cdn10.com/20221019/1122_87a57b65/index.m3u8
聊斋艳谭2:五通神1991(DVD国语),https://yzzy.play-cdn9.com/20220927/11_ab1e678c/index.m3u8
聊斋艳谭之灯草和尚1992(HD国语版),https://yzzy.play-cdn7.com/20220629/1272_4797355b/index.m3u8
聊斋艳谭之幽媾1997(DVD国语),https://yzzy.play-cdn9.com/20220927/13_7710e144/index.m3u8
聊斋之欲焰三娘子1992(DVD国语),https://yzzy.play-cdn7.com/20220811/10888_c2e3f3c6/index.m3u8
聊斋志异之孽欲孤鬼2002(DVD国语),https://yzzy.play-cdn7.com/20220811/10890_a6972cbe/index.m3u8
猎人1969(HD中字版),https://yzzy.play-cdn7.com/20220701/2062_0cefb84e/index.m3u8
灵幻新娘1991(HD粤语),https://vip15.play-cdn15.com/20230819/24071_8e7d4215/index.m3u8
六魔女1996(HD国语),https://vip15.play-cdn15.com/20240105/26704_ef8d9ff6/index.m3u8
裸体诱奸1990(HD粤语),https://vip15.play-cdn15.com/20240104/26681_9b5a4920/index.m3u8
满清禁宫奇案11994(HD国语),https://yzzy.play-cdn7.com/20220624/437_fb0678ae/index.m3u8
满清禁宫奇案21994(HD国语),https://yzzy.play-cdn7.com/20220624/327_80ae0b18/index.m3u8
满清十大酷刑11994(HD国语),https://yzzy.play-cdn7.com/20220624/438_fc95a7de/index.m3u8
满清十大酷刑21995(HD粤语版),https://yzzy.play-cdn7.com/20220624/439_9d43581e/index.m3u8
满清十大酷刑之赤裸凌迟1998(HD粤语),https://vip15.play-cdn15.com/20231228/26543_627f29f3/index.m3u8
美色飄香1983(HD国语),https://yzzy.play-cdn14.com/20230809/31194_0a83f233/index.m3u8
猛鬼山坟1989(DVD粤语),https://yzzy.play-cdn8.com/20221014/23509_3ff1fc28/index.m3u8
迷魂党1995(HD粤语),https://vip15.play-cdn15.com/20240129/26944_9ae2b7e6/index.m3u8
迷奸犯1995(DVD粤语),https://yzzy.play-cdn9.com/20220929/332_41f02208/index.m3u8
迷情司机1992(HD粤语),https://vip15.play-cdn15.com/20230820/24125_f6535741/index.m3u8
密宗圣手1976(HD国语),https://vip15.play-cdn15.com/20231015/25082_6da1fa93/index.m3u8
蜜桃成熟时1993(HD国语),https://yzzy.play-cdn7.com/20220624/331_c5416222/index.m3u8
蜜桃成熟时3【3D】2011(HD国语),https://yzzy.play-cdn7.com/20220624/332_5e1a746e/index.m3u8
蜜桃成熟时3之蜜桃仙子1999(DVD国语),https://yzzy.play-cdn8.com/20220725/10443_5fb23fda/index.m3u8
蜜桃成熟时之三人同眠2005(HD粤语),https://vip15.play-cdn15.com/20240101/26621_93df6da3/index.m3u8
渺渺2008(HD国语),https://vip15.play-cdn15.com/20240203/27110_5079c556/index.m3u8
灭门惨案II之借种1994(DVD国语),https://yzzy.play-cdn8.com/20221014/23510_57c19db5/index.m3u8
灭门惨案之孽杀1993(HD粤语),https://vip15.play-cdn15.com/20230822/24186_583600ea/index.m3u8
摩登龙争虎斗1994(DVD粤语),https://yzzy.play-cdn7.com/20220811/10891_c65d3a1e/index.m3u8
魔鬼女集中营1994(DVD国语),https://yzzy.play-cdn7.com/share/2990d25f0152b653b68bc2f7994a05f1
魔鬼天使1995(HD国语版),https://yzzy.play-cdn7.com/20220701/2073_9151c154/index.m3u8
牡丹夜钗1993(HD国语),https://vip15.play-cdn15.com/20230820/24127_0b9035f6/index.m3u8
那个少女不多情之脱的疑惑1993(HD粤语),https://vip15.play-cdn15.com/20230819/24073_66875865/index.m3u8
囡囡2010(HD中字版),https://yzzy.play-cdn7.com/20220627/992_58c397a6/index.m3u8
男与女1993(HD中字),https://yzzy.play-cdn14.com/20230709/28850_8cfdbf62/index.m3u8
南洋十大邪术1995(DVD粤语版),https://yzzy.play-cdn2.com/20220420/14865_96f6e332/index.m3u8
拈花惹草1976(HD国语版),https://yzzy.play-cdn7.com/20220629/1275_2c933df3/index.m3u8
孽欲追击档案之邪杀1996(HD粤语),https://yzzy.play-cdn14.com/20230705/28431_2bebdde0/index.m3u8
浓情女人香1992(HD粤语),https://vip15.play-cdn15.com/20240108/26766_ef6fd76d/index.m3u8
虐之恋1993(DVD粤语),https://yzzy.play-cdn7.com/20220811/10894_1206fa94/index.m3u8
女机械人1991(HD粤语),https://yzzy.play-cdn9.com/20221128/17767_3fba2d1c/index.m3u8
女集中营1974(HD国语版),https://yzzy.play-cdn7.com/20220701/2376_42115086/index.m3u8
女人面面观1974(HD国语版),https://yzzy.play-cdn7.com/20220629/1277_a65866c4/index.m3u8
女色狼1999(HD粤语),https://yzzy.play-cdn14.com/20230805/30955_54165359/index.m3u8
女童党性风暴1993(HD中字),https://yzzy.play-cdn14.com/20230717/29815_95203692/index.m3u8
烹夫1993(HD粤语),https://vip15.play-cdn15.com/20230821/24157_5821d38d/index.m3u8
破事儿2007(HD国语),https://yzzy.play-cdn7.com/20220811/10895_d6c7dda0/index.m3u8
齐天大性之大闹女儿国2003(HD粤语),https://vip15.play-cdn15.com/20240129/26946_c24f0aff/index.m3u8
千火玫瑰1993(DVD粤语),https://yzzy.play-cdn9.com/20220929/338_cc049213/index.m3u8
强奸2制服诱惑1998(HD粤语),https://vip15.play-cdn15.com/20230823/24217_74883232/index.m3u8
强奸3OL诱惑1998(HD粤语),https://vip15.play-cdn15.com/20230824/24221_5eef3048/index.m3u8
强奸4之最后的羔羊1999(DVD国语),https://yzzy.play-cdn8.com/20220705/1307_58be8063/index.m3u8
强奸5:广告诱惑1999(DVD国语),https://yzzy.play-cdn8.com/20220705/1309_014c6e5d/index.m3u8
强奸案中案1993(DVD粤语),https://yzzy.play-cdn7.com/20220811/10897_487cc792/index.m3u8
亲密的爱人1993(HD粤语),https://yzzy.play-cdn14.com/20230807/31097_3d7dc103/index.m3u8
亲蜜情人之无限诱惑1999(DVD粤语),https://yzzy.play-cdn6.com/20220805/8737_4e987d95/index.m3u8
青春梦工场2005(HD粤语),https://vip15.play-cdn15.com/20230911/24606_fcf4e4ab/index.m3u8
青春梦里人1994(HD粤语),https://yzzy.play-cdn14.com/20230713/29321_4a318e07/index.m3u8
青楼名妓之桃花扇1999(HD粤语),https://vip15.play-cdn15.com/20240104/26685_a6753b49/index.m3u8
青楼十二房1994(HD中字版),https://yzzy.play-cdn7.com/20220701/2057_5582dfdc/index.m3u8
卿本佳人1991(HD国语版),https://yzzy.play-cdn7.com/20220629/1279_de0e2aa3/index.m3u8
情不自禁1991(DVD国语),https://yzzy.play-cdn8.com/20220805/12443_5149fadb/index.m3u8
情不自禁2：霎时冲动1992(HD国语),https://vip15.play-cdn15.com/20240104/26661_188e0c38/index.m3u8
情不自禁之想入非非1993(DVD国语),https://yzzy.play-cdn7.com/20220811/10898_81e1d33f/index.m3u8
情劫1993(DVD粤语),https://yzzy.play-cdn7.com/20220811/10899_3b61afb0/index.m3u8
情难自制1993(HD粤语),https://yzzy.play-cdn9.com/20221004/2180_fa2d194c/index.m3u8
情欲城市1992(HD中字),https://yzzy.play-cdn14.com/20230710/28934_8c08764d/index.m3u8
情欲房2016(HD国语版),https://yzzy.play-cdn7.com/20220629/1278_ec75f230/index.m3u8
去香港吧！我太了解男人了2023(HD中字),https://svip.yyzy-play.vip/20240407/365_860ff78a/index.m3u8
人皮高跟鞋1996(HD国语),https://yzzy.play-cdn7.com/20220811/10900_d1eb3a40/index.m3u8
人肉叉烧包2之天诛地灭1998(DVD粤语),https://yzzy.play-cdn17.com/20230727/13350_6bb05f6c/index.m3u8
人肉叉烧包2之天诛地灭1998(HD国语),https://yzzy21.playback-speed.com/20250216/41601_cc855450/index.m3u8
人肉腊肠1993(DVD粤语),https://yzzy.play-cdn7.com/20220811/10902_bc373cf8/index.m3u8
人肉天妇罗1993(DVD国语),https://yzzy.play-cdn6.com/20220805/8738_00bffce1/index.m3u8
弱杀(DVD国语),https://yzzy.play-cdn7.com/20220811/10901_d8394e9f/index.m3u8
三度诱惑1990(DVD粤语),https://yzzy.play-cdn8.com/20220705/1308_6ed1e7c5/index.m3u8
三分之一情人1993(HD粤语),https://yzzy.play-cdn14.com/20230722/30211_ddca47ea/index.m3u8
三夫2018(HD中字),https://yzzy.play-cdn11.com/20221023/101_8e493dfe/index.m3u8
三级七日情1992(HD粤语),https://yzzy.play-cdn14.com/20230808/31141_86399da7/index.m3u8
三级蔷薇之恋1991(DVD粤语),https://yzzy.play-cdn8.com/20220705/1310_a4f098a9/index.m3u8
三剑侠与飞机妹1993(HD国语),https://yzzy.play-cdn14.com/20230624/27258_b4d3114c/index.m3u8
色降2万里驱魔1998(DVD粤语),https://yzzy.play-cdn8.com/20220911/19275_18161f5e/index.m3u8
色降2之血玫瑰1992(DVD国语),https://yzzy.play-cdn7.com/20220811/10903_71bceb78/index.m3u8
色降之茅山斗降头1991(DVD国语),https://yzzy.play-cdn7.com/20220811/10904_1706f6db/index.m3u8
色情男女1996(HD国语),https://yzzy.play-cdn7.com/20220811/10906_5a1028bc/index.m3u8
色欲城市之赤裸姐妹花2004(DVD粤语),https://yzzy.play-cdn8.com/20220911/19276_b0e6b068/index.m3u8
色欲城市之绝色网吧2003(HD中字),https://vip15.play-cdn15.com/20231015/25111_d29effe3/index.m3u8
色欲城市之淫人师表2003(HD中字),https://svip.high23-playback.com/20240730/25033_d08d13a9/index.m3u8
色欲档案之性SALON2000(HD粤语),https://vip15.play-cdn15.com/20240112/26844_f29bb1e7/index.m3u8
色欲档案之应召货1990(HD粤语),https://vip15.play-cdn15.com/20240106/26724_1adb40fd/index.m3u8
色欲中环2003(HD粤语),https://vip15.play-cdn15.com/20230916/24692_f757d613/index.m3u8
色欲追魂1993(HD中字),https://yzzy.play-cdn14.com/20230711/29155_f94a3db9/index.m3u8
色中饿鬼1975(HD国语),https://svip.yyzy-play.vip/20240323/199_6b77f4a6/index.m3u8
杀奸O娘1995(HD粤语),https://vip15.play-cdn15.com/20240106/26725_b11e1f5c/index.m3u8
杀人渡假屋2000(DVD国语),https://yzzy.play-cdn6.com/20220805/8739_99bc78cf/index.m3u8
杀手柔情1996(HD粤语),https://vip15.play-cdn15.com/20240129/26950_350a1ee4/index.m3u8
舢舨92之爱的出航1992(DVD国语),https://yzzy.play-cdn8.com/20220705/1303_0720ffb9/index.m3u8
上海性战之回到未来2000(HD国语),https://vip15.play-cdn15.com/20231229/26563_d11d71fd/index.m3u8
少女潘金莲1994(HD中字版),https://yzzy.play-cdn7.com/20220629/1238_2f00e424/index.m3u8
少女足球2003(DVD国语),https://yzzy.play-cdn8.com/20220705/1311_1dbd6c9f/index.m3u8
生人勿近之邪花2000(HD粤语),https://vip15.play-cdn15.com/20240112/26845_39e3f994/index.m3u8
声色犬马1974(HD国语版),https://yzzy.play-cdn7.com/20220701/2382_5941a499/index.m3u8
尸房菜2022(HD中字),https://vip15.play-cdn15.com/20231223/26441_48db4300/index.m3u8
尸蛊艳谭1993(DVD国语),https://yzzy.play-cdn8.com/20220705/1312_6a914171/index.m3u8
尸气逼人1999(DVD国语),https://yzzy.play-cdn6.com/20220805/8740_2b0c6d4b/index.m3u8
十三门徒2002(HD中字),https://vip15.play-cdn15.com/20231112/25673_5b97ed21/index.m3u8
石女初夜情1985(HD粤语),https://vip15.play-cdn15.com/20230817/24044_d7398e59/index.m3u8
世外情缘1993(HD粤语),https://vip15.play-cdn15.com/20230820/24128_e01ec5db/index.m3u8
兽性新人类2000(HD粤语版),https://yzzy.play-cdn7.com/20220701/2384_e248cbb9/index.m3u8
兽性新人类2失忆性行为2002(DVD粤语),https://yzzy.play-cdn9.com/20220927/20_5a5a0b21/index.m3u8
兽性诱惑之赤裸性游戏2000(DVD粤语),https://yzzy.play-cdn6.com/20220805/8742_21203fa9/index.m3u8
双姝艳1995(HD中字),https://yzzy.play-cdn14.com/20230714/29474_6a70560d/index.m3u8
水浒传之英雄好色1999(HD粤语),https://yzzy.play-cdn14.com/20230626/27405_813cc2ab/index.m3u8
私钟真面目1992(DVD粤语),https://yzzy.play-cdn6.com/20220805/8743_9a9e44f0/index.m3u8
四大美人之王昭君1990(HD国语),https://vip15.play-cdn15.com/20231231/26600_f19a897c/index.m3u8
四大名妓之李师师1990(DVD国语),https://yzzy.play-cdn6.com/20220805/8746_d7f2bebf/index.m3u8
四大名妓之李香君1990(DVD国语),https://yzzy.play-cdn6.com/20220805/8752_546b5507/index.m3u8
